Name Tag Score Industry
"Texas Instruments" TXN 41 "SEM Semiconductors & Semiconductor Equipment"
Textron TXT 34 "ARO Aerospace & Defense"
"Tyler Technologies" TYL 45 "SOF Software"
"United Airlines Holdings" UAL 38 "AIR Airlines"
Udr UDR NA NA
"Universal Health Services" UHS 22 "HEA Health Care Providers & Services"
"Ulta Beauty" ULTA 36 "RTS Retailing"
"Unitedhealth Group" UNH 66 "HEA Health Care Providers & Services"
"Union Pacific" UNP 65 "TRA Transportation and Transportation Infrastructure"
"United Parcel Service" UPS 42 "TRA Transportation and Transportation Infrastructure"
"United Rentals" URI 39 "TCD Trading Companies & Distributors"
"Us Bancorp" USB NA NA
"Visa  Class  Shares" V NA NA
Vf VFC NA NA
"Vici Properties" VICI 30 "REI Equity Real Estate Investment Trusts (REITs)"
"Valero Energy" VLO 44 "OGR Oil & Gas Refining & Marketing"
"Vulcan Materials" VMC 36 "COM Construction Materials"
"Verisk Analytics" VRSK 53 "PRO Professional Services"
Verisign VRSN 33 "TSV IT services"
"Vertex Pharmaceuticals" VRTX 37 "BTC Biotechnology"
Ventas VTR 54 "REI Equity Real Estate Investment Trusts (REITs)"
Viatris VTRS 35 "DRG Pharmaceuticals"
"Verizon Communications" VZ 41 "TLS Telecommunication Services"
Wabtec WAB NA NA
Waters WAT 55 "LIF Life Sciences Tools & Services"
"Walgreens Boots Alliance" WBA 50 "FDR Food & Staples Retailing"
"Warner Bros Discovery" WBD NA NA
"Western Digital" WDC 53 "THQ Computers & Peripherals and Office Electronics"
"Wec Energy Group" WEC 48 "MUW Multi and Water Utilities"
Welltower WELL 58 "REI Equity Real Estate Investment Trusts (REITs)"
"Wells Fargo &" WFC 38 "BNK Banks"
Whirlpool WHR 61 "DHP Household Durables"
"Waste Management" WM 47 "ICS Commercial Services & Supplies"
"Williams Cos" WMB NA NA
Walmart WMT 55 "FDR Food & Staples Retailing"
"Wr Berkley" WRB NA NA
Westrock WRK 59 "CTR Containers & Packaging"
"West Pharmaceutical Services" WST 33 "LIF Life Sciences Tools & Services"
"Willis Towers Watson" WTW 35 "INS Insurance"
Weyerhaeuser WY 66 "REI Equity Real Estate Investment Trusts (REITs)"
"Wynn Resorts" WYNN 32 "CNO Casinos & Gaming"
"Xcel Energy" XEL 47 "ELC Electric Utilities"
"Dentsply Sirona" XRAY 36 "MTC Health Care Equipment & Supplies"
Xylem XYL NA NA
"Yum Brands" YUM 48 "IEQ Machinery and Electrical Equipment"
"Zimmer Biomet Holdings" ZBH 40 "MTC Health Care Equipment & Supplies"
"Zebra Technologies" ZBRA 32 "ITC Electronic Equipment, Instruments & Components"
"Zions Bancorp" ZION 32 "BNK Banks"
Zoetis ZTS 40 "DRG Pharmaceuticals"
